DATA IN NGS FORMAT FROM DATABASE 19FEB25XA_V002                                                 
  0.224   0.314  0.0064  0.0029 -0.0000 -0.0006        218.966            110004
  -0.12789  -0.00241    .00000    .00000    .00000    .00000              110005                
     0.690     6.481   967.900   962.500    77.721    66.600 0 0          110006                
        0.6434388396   0.00891        0.0226716510   0.01210  0           110008                
ISHIOKA   KOKEE     3C371    2019 02 25 21 47  39.0000000000              110101                
    5840787.75905484   0.02431   453871.7355630021   0.03106 0      I     110102                
   0.00031    .00000    .00000    .00000   3.234419263913377       0.0    110103                
  0.311   0.444  0.0004 -0.0106 -0.0000 -0.0034       7556.024            110104
   0.00000   0.08613    .00000    .00000    .00000    .00000              110105                
     7.622    17.800  1003.300   888.000    77.675    69.707 0 0          110106                
        0.3154201583   0.01404       -0.0189763532   0.00899  0           110108                
ISHIOKA   NYALES20  3C371    2019 02 25 21 47  39.0000000000              110201                
   -1049577.95561893   0.00901    -1636.0939846639   0.00660 0      I     110202                
   0.00064    .00000    .00000    .00000  -5.094915319351530       0.0    110203                
  0.311   0.056  0.0004 -0.0014 -0.0000 -0.0009    -145924.844            110204
   0.00000  -0.06008    .00000    .00000    .00000    .00000              110205                
     7.622   -20.568  1003.300  1008.800    77.675    66.200 0 0          110206                
        0.1081845693   0.00673       -0.0094974768   0.00283  0           110208                
ISHIOKA   SEJONG    3C371    2019 02 25 21 47  39.0000000000              110301                
     260022.78521568   0.00635   -93042.5884648526   0.00546 0      I     110302                
   0.00098    .00000    .00000    .00000   5.196424900093207       0.0    110303                
  0.311  -0.024  0.0004 -0.0016 -0.0000  0.0004     -31066.408            110304
   0.00000   0.00000    .00000    .00000    .00000    .00000              110305                
     7.622    -1.378  1003.300   999.900    77.675    76.256 0 0          110306                
       -0.2832891670   0.04364        0.0058867332   0.00805  0           110308                
KOKEE     NYALES20  3C371    2019 02 25 21 47  39.0000000000              110401                
   -6890363.06113190   0.02458  -455507.5179816022   0.03140 0      I     110402                
   0.00031    .00000    .00000    .00000  -3.533107427551759       0.0    110403                
  0.444   0.056 -0.0106 -0.0014 -0.0034 -0.0009    -153480.868            110404
   0.08613  -0.06008    .00000    .00000    .00000    .00000              110405                
    17.800   -20.568   888.000  1008.800    69.707    66.200 0 0          110406                
       -0.1997731456   0.01199       -0.0048747857   0.00635  0           110408                
KOKEE     SEJONG    3C371    2019 02 25 21 47  39.0000000000              110501                
   -5580761.80724048   0.01628  -546914.2209078039   0.02080 0      I     110502                
   0.00046    .00000    .00000    .00000  -2.674865683070137       0.0    110503                
  0.444  -0.024 -0.0106 -0.0016 -0.0034  0.0004     -38622.432            110504
   0.08613   0.00000    .00000    .00000    .00000    .00000              110505                
    17.800    -1.378   888.000   999.900    69.707    76.256 0 0          110506                
       -0.5973392278   0.04909        0.0277185511   0.01345  0           110508                
SEJONG    NYALES20  3C371    2019 02 25 21 47  39.0000000000              110601                
   -1309600.74103087   0.00844    91406.5226580741   0.00725 0      I     110602                
   0.00074    .00000    .00000    .00000  -5.713388676151683       0.0    110603                
 -0.024   0.056 -0.0016 -0.0014  0.0004 -0.0009    -114858.436            110604
   0.00000  -0.06008    .00000    .00000    .00000    .00000              110605                
    -1.378   -20.568   999.900  1008.800    76.256    66.200 0 0          110606                
        0.4454459581   0.04403       -0.0019868098   0.00812  0           110608                
KATH12M   YARRA12M  2052-474 2019 02 25 21 47  46.0000000000              110701                
     434268.16148957   0.02258   -14346.3003360570   0.01940 0      I     110702                
   0.00027    .00000    .00000    .00000   2.686701037270558       0.0    110703                
  2.068   0.809  0.0008  0.0014 -0.0009  0.0131      -1101.160            110704
   0.00000   0.00000    .00000    .00000    .00000    .00000              110705                
    24.775    18.500   996.639   981.772    88.536    50.000 0 0          110706                
       -0.0448572571   0.01857       -0.0093539985   0.00946  0           110708                
HART15M   MATERA    0727-115 2019 02 25 21 48   5.0000000000              110801                
    5403174.58744707   0.00770  -317122.3872133208   0.02270 0      I     110802                
   0.00150    .00000    .00000    .00000  -1.329072779399146       0.0    110803                
  0.538   0.210 -0.0000  0.0042 -0.0017  0.0000      -5636.225            110804
   0.00000  -0.12950    .00000    .00000    .00000    .00000              110805                
    13.900     0.600   863.581   967.911    86.781    77.933 0 0          110806                
        0.3914810877   0.00870        0.0160684439   0.01335  0           110808                
HART15M   WETTZELL  0727-115 2019 02 25 21 48   5.0000000000              110901                
    7426899.64461660   0.00293  -448089.6000485308   0.00623 0      I     110902                
   0.00334    .00000    .00000    .00000   1.819299350219607       0.0    110903                
  0.538   0.256 -0.0000  0.0013 -0.0017 -0.0014      -5417.243            110904
   0.00000  -0.00326    .00000    .00000    .00000    .00000              110905                
    13.900     6.420   863.581   962.500    86.781    66.640 0 0          110906                
        1.0866743026   0.00273        0.0183733013   0.00353  0           110908                
MATERA    WETTZELL  0727-115 2019 02 25 21 48   5.0000000000              111001                
    2023725.74687161   0.00362  -130967.3313422956   0.01046 0      I     111002                
   0.00313    .00000    .00000    .00000   2.000799903779015       0.0    111003                
  0.210   0.256  0.0042  0.0013  0.0000 -0.0014        218.982            111004
  -0.12950  -0.00326    .00000    .00000    .00000    .00000              111005                
     0.600     6.420   967.911   962.500    77.933    66.640 0 0          111006                
        0.6702665415   0.00552        0.0263399020   0.00852  0           111008                
HART15M   MATERA    0627-199 2019 02 25 21 50   3.0000000000              111101                
    7411213.98880499   0.02846  -306745.1367839715   0.04236 4      I     111102                
   0.00029    .00000    .00000    .00000   3.622445030531230       0.1    111103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            111104
   0.00000  -0.12836    .00000    .00000    .00000    .00000              111105                
    13.874     0.600   863.500   968.000    86.700    78.241 0 0          111106                
        0.4052457574   0.04980       -0.0489691383   0.03997  0           111108                
HART15M   WETTZELL  0627-199 2019 02 25 21 50   3.0000000000              111201                
    9156939.83111705   0.01241  -457533.3913985104   0.01614 0      I     111202                
   0.00062    .00000    .00000    .00000   3.052193797905250       0.0    111203                
  0.647   0.506  0.0000  0.0034 -0.0029 -0.0081      -5417.250            111204
   0.00000  -0.00301    .00000    .00000    .00000    .00000              111205                
    13.874     6.448   863.500   962.500    86.700    66.852 0 0          111206                
        1.1138851012   0.01493       -0.0246928310   0.01233  0           111208                
MATERA    WETTZELL  0627-199 2019 02 25 21 50   3.0000000000              111301                
    1745726.99529798   0.01456  -150788.2050358998   0.02189 0      I     111302                
   0.00056    .00000    .00000    .00000   0.565171852057899       0.0    111303                
  0.379   0.506  0.0121  0.0034  0.0005 -0.0081        219.001            111304
  -0.12836  -0.00301    .00000    .00000    .00000    .00000              111305                
     0.600     6.448   968.000   962.500    78.241    66.852 0 0          111306                
        0.6959262024   0.02487        0.0158467888   0.02014  0           111308                
ISHIOKA   KATH12M   1741-038 2019 02 25 21 50  42.0000000000              111401                
   -4246704.82643303   0.01089  -221990.4828307157   0.02858 0      I     111402                
   0.00099    .00000    .00000    .00000  -3.139066112663635       0.0    111403                
  0.295   1.096 -0.0005 -0.0000 -0.0000 -0.0001       9252.705            111404
   0.00000   0.00000    .00000    .00000    .00000    .00000              111405                
     7.721    24.817  1003.300   996.705    76.030    88.553 0 0          111406                
       -0.1307811810   0.01025       -0.0046508021   0.01646  0           111408                
ISHIOKA   SEJONG    1741-038 2019 02 25 21 50  42.0000000000              111501                
     667286.98180373   0.00482  -276189.9049291244   0.01393 0      I     111502                
   0.00235    .00000    .00000    .00000   3.833722654554923       0.0    111503                
  0.295   0.023 -0.0005  0.0020 -0.0000  0.0010     -31066.435            111504
   0.00000   0.00000    .00000    .00000    .00000    .00000              111505                
     7.721    -1.256  1003.300   999.900    76.030    75.860 0 0          111506                
       -0.6415529770   0.02622        0.0043774744   0.01626  0           111508                
KATH12M   SEJONG    1741-038 2019 02 25 21 50  42.0000000000              111601                
    4913991.59731540   0.00874   -54199.4857532503   0.02523 0      I     111602                
   0.00130    .00000    .00000    .00000   1.336589684733949       0.0    111603                
  1.096   0.023 -0.0000  0.0020 -0.0001  0.0010     -40319.140            111604
   0.00000   0.00000    .00000    .00000    .00000    .00000              111605                
    24.817    -1.256   996.705   999.900    88.553    75.860 0 0          111606                
       -0.4371120859   0.06560       -0.0621680502   0.04069  0           111608                
KOKEE     YARRA12M  2355-534 2019 02 25 21 51   5.0000000000              111701                
     767477.34757238   0.08289  -188579.0278233897   0.14080 2      I     111702                
   0.00011    .00000    .00000    .00000  -0.857358373948043       0.1    111703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            111704
   0.08538   0.00000    .00000    .00000    .00000    .00000              111705                
    17.826    18.500   887.987   981.700    74.043    50.000 0 0          111706                
       -1.2073751869   0.03828       -0.0877689025   0.02438  0           111708                
HART15M   MATERA    0748+126 2019 02 25 21 52  11.0000000000              111801                
   -3937744.67814081   0.01989  -311591.6085789195   0.05742 0      I     111802                
   0.00057    .00000    .00000    .00000  -0.417394507908002       0.0    111803                
  0.665   0.144 -0.0002  0.0010 -0.0021  0.0001      -5636.278            111804
   0.00000  -0.12913    .00000    .00000    .00000    .00000              111805                
    13.744     0.600   863.500   968.000    86.700    78.400 0 0          111806                
        0.3259556897   0.01674        0.0305863165   0.02391  0           111808                
HART15M   NYALES20  0748+126 2019 02 25 21 52  11.0000000000              111901                
    5196059.22399668   0.01372  -659835.0433421278   0.02572 0      I     111902                
   0.00067    .00000    .00000    .00000   1.963288214560813       0.0    111903                
  0.665   0.110 -0.0002  0.0139 -0.0021  0.0058    -148898.186            111904
   0.00000  -0.01141    .00000    .00000    .00000    .00000              111905                
    13.744   -20.538   863.500  1008.700    86.700    67.231 0 0          111906                
       -0.1478520649   0.00990       -0.0115293579   0.01053  0           111908                
HART15M   WETTZELL  0748+126 2019 02 25 21 52  11.0000000000              112001                
   -2727289.82142018   0.00684  -433592.4273808877   0.01283 0      I     112002                
   0.00134    .00000    .00000    .00000  -4.724175066104944       0.0    112003                
  0.665   0.156 -0.0002  0.0001 -0.0021 -0.0003      -5417.257            112004
   0.00000  -0.00021    .00000    .00000    .00000    .00000              112005                
    13.744     6.300   863.500   962.500    86.700    67.000 0 0          112006                
        0.9936888528   0.00562        0.0124567653   0.00624  0           112008                
MATERA    NYALES20  0748+126 2019 02 25 21 52  11.0000000000              112101                
    9133802.56750705   0.01879  -348243.7024584060   0.05427 0      I     112102                
   0.00061    .00000    .00000    .00000   0.751346719383586       0.0    112103                
  0.144   0.110  0.0010  0.0139  0.0001  0.0058    -143261.908            112104
  -0.12913  -0.01141    .00000    .00000    .00000    .00000              112105                
     0.600   -20.538   968.000  1008.700    78.400    67.231 0 0          112106                
       -0.4716039491   0.01829       -0.0808052909   0.02692  0           112108                
MATERA    WETTZELL  0748+126 2019 02 25 21 52  11.0000000000              112201                
    1210454.38466307   0.00933  -122000.7867669240   0.02695 0      I     112202                
   0.00122    .00000    .00000    .00000   2.322185923072033       0.0    112203                
  0.144   0.156  0.0010  0.0001  0.0001 -0.0003        219.022            112204
  -0.12913  -0.00021    .00000    .00000    .00000    .00000              112205                
     0.600     6.300   968.000   962.500    78.400    67.000 0 0          112206                
        0.6455662481   0.00859       -0.0142371939   0.01252  0           112208                
NYALES20  WETTZELL  0748+126 2019 02 25 21 52  11.0000000000              112301                
   -7923350.24402083   0.00599   226242.5322467395   0.01124 0      I     112302                
   0.00153    .00000    .00000    .00000  -0.161428857700455       0.0    112303                
  0.110   0.156  0.0139  0.0001  0.0058 -0.0003     143480.930            112304
  -0.01141  -0.00021    .00000    .00000    .00000    .00000              112305                
   -20.538     6.300  1008.700   962.500    67.231    67.000 0 0          112306                
        1.1310038107   0.00535        0.0339399382   0.00607  0           112308                
ISHIOKA   SEJONG    1923+210 2019 02 25 21 52  53.0000000000              112401                
    2013147.61511793   0.01166  -214290.6537048168   0.01229 0      I     112402                
   0.00059    .00000    .00000    .00000   2.376178584696190       0.0    112403                
  0.263   0.017 -0.0001  0.0003 -0.0003  0.0017     -31066.457            112404
   0.00000   0.00000    .00000    .00000    .00000    .00000              112405                
     7.767    -1.002  1003.300   999.867    75.400    74.345 0 0          112406                
       -0.5220016301   0.04576        0.0092094213   0.01035  0           112408                
KATH12M   YARRA12M  1057-797 2019 02 25 21 53   7.0000000000              112501                
   -5876694.21216904   0.01120   -33512.6908885161   0.01634 0      I     112502                
   0.00072    .00000    .00000    .00000  -6.272186984509777       0.0    112503                
  4.322   0.780 -0.0025  0.0019  0.0007 -0.0031      -1100.742            112504
   0.00000   0.00000    .00000    .00000    .00000    .00000              112505                
    24.866    18.530   996.649   981.730    88.482    50.000 0 0          112506                
       -0.1134643695   0.01450        0.0026097013   0.01353  0           112508                
HART15M   MATERA    OJ287    2019 02 25 21 53  57.0000000000              112601                
   -5828253.66593348   0.00708  -269306.2016336675   0.02044 0      I     112602                
   0.00161    .00000    .00000    .00000  -2.115582546235593       0.0    112603                
  0.660   0.125 -0.0003  0.0006 -0.0010  0.0000      -5636.302            112604
   0.00000  -0.12490    .00000    .00000    .00000    .00000              112605                
    13.529     0.600   863.500   968.000    86.714    78.408 0 0          112606                
        0.3679253482   0.00610       -0.0267179733   0.00877  0           112608                
HART15M   NYALES20  OJ287    2019 02 25 21 53  57.0000000000              112701                
    2859729.32891200   0.00520  -389088.4357831894   0.00728 0      I     112702                
   0.00152    .00000    .00000    .00000   1.977913496319201       0.0    112703                
  0.660   0.076 -0.0003  0.0076 -0.0010  0.0003    -148898.084            112704
   0.00000  -0.04906    .00000    .00000    .00000    .00000              112705                
    13.529   -20.407   863.500  1008.700    86.714    67.384 0 0          112706                
       -0.1449240731   0.00312       -0.0216516278   0.00225  0           112708                
HART15M   WETTZELL  OJ287    2019 02 25 21 53  57.0000000000              112801                
   -4592208.29160875   0.00218  -350576.1171611701   0.00306 0      I     112802                
   0.00363    .00000    .00000    .00000  -1.964516198139448       0.0    112803                
  0.660   0.144 -0.0003  0.0001 -0.0010 -0.0000      -5417.263            112804
   0.00000   0.00136    .00000    .00000    .00000    .00000              112805                
    13.529     6.285   863.500   962.515    86.714    67.073 0 0          112806                
        0.9777956684   0.00189        0.0030573256   0.00159  0           112808                
MATERA    NYALES20  OJ287    2019 02 25 21 53  57.0000000000              112901                
    8687982.30266328   0.00594  -119782.4708308436   0.01714 0      I     112902                
   0.00192    .00000    .00000    .00000  -0.409052954741655       0.0    112903                
  0.125   0.076  0.0006  0.0076  0.0000  0.0003    -143261.783            112904
  -0.12490  -0.04906    .00000    .00000    .00000    .00000              112905                
     0.600   -20.407   968.000  1008.700    78.408    67.384 0 0          112906                
       -0.5086408316   0.00565       -0.0209838967   0.00829  0           112908                
MATERA    WETTZELL  OJ287    2019 02 25 21 53  57.0000000000              113001                
    1236044.90268441   0.00287   -81269.9066507718   0.00828 0      I     113002                
   0.00396    .00000    .00000    .00000   0.871425590300005       0.0    113003                
  0.125   0.144  0.0006  0.0001  0.0000 -0.0000        219.039            113004
  -0.12490   0.00136    .00000    .00000    .00000    .00000              113005                
     0.600     6.285   968.000   962.515    78.408    67.073 0 0          113006                
        0.5999302722   0.00397        0.0141824592   0.00609  0           113008                
NYALES20  WETTZELL  OJ287    2019 02 25 21 53  57.0000000000              113101                
   -7451937.73998035   0.00151    38512.1741265843   0.00188 0      I     113102                
   0.00495    .00000    .00000    .00000  -3.722907988964507       0.0    113103                
  0.076   0.144  0.0076  0.0001  0.0003 -0.0000     143480.822            113104
  -0.04906   0.00136    .00000    .00000    .00000    .00000              113105                
   -20.407     6.285  1008.700   962.515    67.384    67.073 0 0          113106                
        1.1198072781   0.00157        0.0113350791   0.00122  0           113108                
KATH12M   YARRA12M  1255-316 2019 02 25 21 55  46.0000000000              113201                
   -5565824.88873668   0.01373  -309499.4473120692   0.01095 0      I     113202                
   0.00043    .00000    .00000    .00000  -2.773798122824945       0.0    113203                
  2.039   0.515 -0.0004  0.0002  0.0005 -0.0051      -1100.536            113204
   0.00000   0.00000    .00000    .00000    .00000    .00000              113205                
    24.924    18.585   996.573   981.815    88.191    50.000 0 0          113206                
       -0.0294277053   0.01787        0.0143237488   0.00913  0           113208                
ISHIOKA   KOKEE     1921-293 2019 02 25 21 55  54.0000000000              113301                
   -3211294.04797846   0.00315  1182692.2008567802   0.00279 0      I     113302                
   0.00199    .00000    .00000    .00000  -3.579723931904724       0.0    113303                
  0.716   0.489 -0.0017  0.0132 -0.0017 -0.0089       7555.870            113304
   0.00000   0.08538    .00000    .00000    .00000    .00000              113305                
     7.700    18.000  1003.334   887.900    75.569    74.865 0 0          113306                
        0.3742972954   0.00290       -0.0245454134   0.00156  0           113308                
ISHIOKA   SEJONG    1921-293 2019 02 25 21 55  54.0000000000              113401                
    1913448.80331105   0.00197  -202881.7206045818   0.00153 0      I     113402                
   0.00300    .00000    .00000    .00000   4.831553188624722       0.0    113403                
  0.716   0.012 -0.0017  0.0167 -0.0017  0.0127     -31066.489            113404
   0.00000   0.00000    .00000    .00000    .00000    .00000              113405                
     7.700    -0.776  1003.334   999.800    75.569    72.544 0 0          113406                
       -0.4300187877   0.01795       -0.0157808485   0.00301  0           113408                
KOKEE     SEJONG    1921-293 2019 02 25 21 55  54.0000000000              113501                
    5124738.39827303   0.00234 -1385572.3297192946   0.00207 0      I     113502                
   0.00268    .00000    .00000    .00000   4.318844611355974       0.0    113503                
  0.489   0.012  0.0132  0.0167 -0.0089  0.0127     -38622.359            113504
   0.08538   0.00000    .00000    .00000    .00000    .00000              113505                
    18.000    -0.776   887.900   999.800    74.865    72.544 0 0          113506                
       -0.8529766706   0.01781        0.0091229437   0.00339  0           113508                
HART15M   MATERA    0805+410 2019 02 25 21 56  36.0000000000              113601                
  -14052638.79327689   0.01952  -237498.2215157663   0.02791 0      I     113602                
   0.00041    .00000    .00000    .00000  -6.005755294310544       0.0    113603                
  1.434   0.123 -0.0019 -0.0000 -0.0059  0.0001      -5636.336            113604
   0.00000  -0.13045    .00000    .00000    .00000    .00000              113605                
    13.700     0.600   863.519   968.000    86.839    78.438 0 0          113606                
        0.3198976557   0.02072        0.0013883282   0.01530  0           113608                
HART15M   NYALES20  0805+410 2019 02 25 21 56  36.0000000000              113701                
  -10211867.57897741   0.01595  -469986.5054721647   0.01181 0      I     113702                
   0.00036    .00000    .00000    .00000  -2.036251637894040       0.0    113703                
  1.434   0.047 -0.0019  0.0022 -0.0059  0.0009    -148897.931            113704
   0.00000  -0.05701    .00000    .00000    .00000    .00000              113705                
    13.700   -20.111   863.519  1008.700    86.839    67.086 0 0          113706                
       -0.1849377875   0.01044       -0.0282001153   0.00420  0           113708                
HART15M   WETTZELL  0805+410 2019 02 25 21 56  36.0000000000              113801                
  -14122725.93570522   0.00692  -326092.4858099089   0.00591 0      I     113802                
   0.00089    .00000    .00000    .00000  -6.197978000734719       0.0    113803                
  1.434   0.130 -0.0019  0.0000 -0.0059 -0.0001      -5417.272            113804
   0.00000   0.00821    .00000    .00000    .00000    .00000              113805                
    13.700     6.200   863.519   962.600    86.839    67.539 0 0          113806                
        0.9255950052   0.00701       -0.0120872314   0.00371  0           113808                
MATERA    NYALES20  0805+410 2019 02 25 21 56  36.0000000000              113901                
    3840767.90826066   0.01618  -232488.9851048006   0.02313 0      I     113902                
   0.00049    .00000    .00000    .00000   5.193160929861206       0.0    113903                
  0.123   0.047 -0.0000  0.0022  0.0001  0.0009    -143261.595            113904
  -0.13045  -0.05701    .00000    .00000    .00000    .00000              113905                
     0.600   -20.111   968.000  1008.700    78.438    67.086 0 0          113906                
       -0.5106003814   0.02041       -0.0301156873   0.01538  0           113908                
MATERA    WETTZELL  0805+410 2019 02 25 21 56  36.0000000000              114001                
     -70088.38172561   0.00820   -88594.3235746419   0.01173 0      I     114002                
   0.00097    .00000    .00000    .00000  -1.581116209177008       0.0    114003                
  0.123   0.130 -0.0000  0.0000  0.0001 -0.0001        219.064            114004
  -0.13045   0.00821    .00000    .00000    .00000    .00000              114005                
     0.600     6.200   968.000   962.600    78.438    67.539 0 0          114006                
        0.6137340556   0.01312       -0.0026925654   0.01007  0           114008                
NYALES20  WETTZELL  0805+410 2019 02 25 21 56  36.0000000000              114101                
   -3910856.89316554   0.00496   143894.4828640863   0.00424 0      I     114102                
   0.00125    .00000    .00000    .00000  -4.866510373725319       0.0    114103                
  0.047   0.130  0.0022  0.0000  0.0009 -0.0001     143480.659            114104
  -0.05701   0.00821    .00000    .00000    .00000    .00000              114105                
   -20.111     6.200  1008.700   962.600    67.086    67.539 0 0          114106                
        1.1029192773   0.00610        0.0221498147   0.00332  0           114108                
ISHIOKA   KATH12M   3C446    2019 02 25 21 58  22.0000000000              114201                
     214798.56958186   0.02669  -288990.4677245418   0.07707 0      I     114202                
   0.00043    .00000    .00000    .00000  -0.020921279616796       0.0    114203                
  1.173   5.289 -0.0010 -0.0004 -0.0128 -0.0018       9252.356            114204
   0.00000   0.00000    .00000    .00000    .00000    .00000              114205                
     7.724    25.025  1003.376   996.522    75.378    87.989 0 0          114206                
       -0.0553243250   0.01750        0.0647361036   0.02748  0           114208                
ISHIOKA   KOKEE     3C446    2019 02 25 21 58  22.0000000000              114301                
  -14186173.77362774   0.02081   903055.5106576916   0.06008 0      I     114302                
   0.00055    .00000    .00000    .00000  -5.410270344039954       0.0    114303                
  1.173   0.272 -0.0010  0.0026 -0.0128  0.0012       7555.824            114304
   0.00000   0.08021    .00000    .00000    .00000    .00000              114305                
     7.724    18.000  1003.376   887.876    75.378    74.576 0 0          114306                
        0.1561077481   0.01177        0.4065857924   0.01675  0           114308                
KATH12M   KOKEE     3C446    2019 02 25 21 58  22.0000000000              114401                
  -14400972.62243198   0.02977  1192046.1413757042   0.08597 0      I     114402                
   0.00038    .00000    .00000    .00000  -5.133044861942630       0.1    114403                
  5.289   0.272 -0.0004  0.0026 -0.0018  0.0012      -1696.533            114404
   0.00000   0.08021    .00000    .00000    .00000    .00000              114405                
    25.025    18.000   996.522   887.876    87.989    74.576 0 0          114406                
        0.2299310739   0.01722        0.3979540887   0.02493  0           114408                
KATH12M   KOKEE     2141+175 2019 02 25 22 00   9.0000000000              114501                
  -15612673.17650348   0.04643  1324606.0158452000   0.06094 0      I     114502                
   0.00016    .00000    .00000    .00000  -0.462916053578781       0.1    114503                
  4.022   0.235  0.0030  0.0003  0.0010  0.0000      -1696.485            114504
   0.00000   0.07671    .00000    .00000    .00000    .00000              114505                
    25.162    17.979   996.559   887.800    87.516    74.416 0 0          114506                
        0.2306731938   0.02881        0.0372135442   0.01993  0           114508                
HART15M   ISHIOKA   0955+476 2019 02 25 22 00  13.0000000000              114601                
    2060607.10996592   0.02491   709612.9290699837   0.02948 0      I     114602                
   0.00029    .00000    .00000    .00000   3.637397881103698       0.0    114603                
  1.504   1.224 -0.0041  0.0027 -0.0007  0.0104      -2973.619            114604
   0.00000   0.00000    .00000    .00000    .00000    .00000              114605                
    13.700     7.777   863.574  1003.323    86.974    74.169 0 0          114606                
       -0.2486694945   0.01261       -0.0234239745   0.00654  0           114608                
HART15M   MATERA    0955+476 2019 02 25 22 00  13.0000000000              114701                
  -14829716.01806891   0.01616  -161347.9476616536   0.01912 0      I     114702                
   0.00045    .00000    .00000    .00000  -1.083412214384904       0.0    114703                
  1.504   0.124 -0.0041 -0.0002 -0.0007 -0.0000      -5636.383            114704
   0.00000  -0.13037    .00000    .00000    .00000    .00000              114705                
    13.700     0.586   863.574   968.000    86.974    78.059 0 0          114706                
        0.2750321511   0.01193       -0.0086924944   0.00672  0           114708                
HART15M   NYALES20  0955+476 2019 02 25 22 00  13.0000000000              114801                
  -11986618.42369326   0.01432   -98673.4071929548   0.01695 0      I     114802                
   0.00051    .00000    .00000    .00000  -4.249642370430266       0.0    114803                
  1.504   0.062 -0.0041  0.0016 -0.0007 -0.0006    -148897.722            114804
   0.00000  -0.03083    .00000    .00000    .00000    .00000              114805                
    13.700   -19.982   863.574  1008.700    86.974    65.690 0 0          114806                
       -0.2035216378   0.00860       -0.0082367586   0.00525  0           114808                
HART15M   SEJONG    0955+476 2019 02 25 22 00  13.0000000000              114901                
    -521396.49323953   0.01445   769763.3657371514   0.01710 0      I     114902                
   0.00050    .00000    .00000    .00000  -1.140622041184904       0.0    114903                
  1.504   0.057 -0.0041 -0.0081 -0.0007 -0.0076     -34040.152            114904
   0.00000   0.00000    .00000    .00000    .00000    .00000              114905                
    13.700    -0.653   863.574   999.823    86.974    70.818 0 0          114906                
       -0.7414357133   0.05326       -0.0185719414   0.01352  0           114908                
HART15M   WETTZELL  0955+476 2019 02 25 22 00  13.0000000000              115001                
  -14871701.68536553   0.00685  -192102.7295800568   0.00811 0      I     115002                
   0.00106    .00000    .00000    .00000   1.244628601764641       0.0    115003                
  1.504   0.119 -0.0041 -0.0000 -0.0007  0.0001      -5417.285            115004
   0.00000   0.01387    .00000    .00000    .00000    .00000              115005                
    13.700     6.154   863.574   962.623    86.974    67.979 0 0          115006                
        0.9016149912   0.00535       -0.0033104130   0.00370  0           115008                
ISHIOKA   MATERA    0955+476 2019 02 25 22 00  13.0000000000              115101                
  -16890321.31225460   0.01925  -870960.2853914219   0.01336 0      I     115102                
   0.00029    .00000    .00000    .00000  -6.176417581181656       0.0    115103                
  1.224   0.124  0.0027 -0.0002  0.0104 -0.0000      -2662.765            115104
   0.00000  -0.13037    .00000    .00000    .00000    .00000              115105                
     7.777     0.586  1003.323   968.000    74.169    78.059 0 0          115106                
        0.5198152396   0.01286        0.0151982785   0.00409  0           115108                
ISHIOKA   NYALES20  0955+476 2019 02 25 22 00  13.0000000000              115201                
  -14047223.88787180   0.01519  -808285.8130467022   0.01674 0      I     115202                
   0.00046    .00000    .00000    .00000  -3.329001430027541       0.0    115203                
  1.224   0.062  0.0027  0.0016  0.0104 -0.0006    -145924.103            115204
   0.00000  -0.03083    .00000    .00000    .00000    .00000              115205                
     7.777   -19.982  1003.323  1008.700    74.169    65.690 0 0          115206                
        0.0291065301   0.00992        0.0144568608   0.00593  0           115208                
ISHIOKA   SEJONG    0955+476 2019 02 25 22 00  13.0000000000              115301                
   -2582003.69817033   0.01034    60150.4029782527   0.01044 0      I     115302                
   0.00065    .00000    .00000    .00000  -4.943493838724022       0.0    115303                
  1.224   0.057  0.0027 -0.0081  0.0104 -0.0076     -31066.534            115304
   0.00000   0.00000    .00000    .00000    .00000    .00000              115305                
     7.777    -0.653  1003.323   999.823    74.169    70.818 0 0          115306                
       -0.4511880262   0.05800        0.0046473489   0.01257  0           115308                
ISHIOKA   WETTZELL  0955+476 2019 02 25 22 00  13.0000000000              115401                
  -16932306.94732194   0.00811  -901715.0065428041   0.00673 0      I     115402                
   0.00075    .00000    .00000    .00000  -0.464131986353484       0.0    115403                
  1.224   0.119  0.0027 -0.0000  0.0104  0.0001      -2443.667            115404
   0.00000   0.01387    .00000    .00000    .00000    .00000              115405                
     7.777     6.154  1003.323   962.623    74.169    67.979 0 0          115406                
        1.1560669151   0.00604        0.0203633635   0.00288  0           115408                
MATERA    NYALES20  0955+476 2019 02 25 22 00  13.0000000000              115501                
    2843098.49489335   0.01427    62673.9339014282   0.01573 0      I     115502                
   0.00049    .00000    .00000    .00000   0.908502651628307       0.0    115503                
  0.124   0.062 -0.0002  0.0016 -0.0000 -0.0006    -143261.338            115504
  -0.13037  -0.03083    .00000    .00000    .00000    .00000              115505                
     0.586   -19.982   968.000  1008.700    78.059    65.690 0 0          115506                
       -0.4631783128   0.01126        0.0056045719   0.00604  0           115508                
MATERA    WETTZELL  0955+476 2019 02 25 22 00  13.0000000000              115601                
     -41986.13260815   0.00611   -30754.8918491673   0.00507 0      I     115602                
   0.00100    .00000    .00000    .00000  -2.231440173666182       0.0    115603                
  0.124   0.119 -0.0002 -0.0000 -0.0000  0.0001        219.098            115604
  -0.13037   0.01387    .00000    .00000    .00000    .00000              115605                
     0.586     6.154   968.000   962.623    78.059    67.979 0 0          115606                
