DATA IN NGS FORMAT FROM DATABASE 19JAN28XA_V002                                                 
FORTLEZA  ONSALA60  0727-115 2019 01 28 20 24  20.0000000000               49301                
   -1575283.77180094   0.04821  1106395.0771815465   0.04972 0      I      49302                
   0.00014    .00000    .00000    .00000   0.633982808040448       0.1     49303                
  3.268   0.521  0.0063  0.0202 -0.0114  0.0006     -22337.428             49304
  -0.02400   0.01800    .00000    .00000    .00000    .00000               49305                
    27.833    -0.200  1007.500   990.500    85.600    82.129 0 0           49306                
        0.5885860168   0.02124       -0.0244883337   0.00774  0            49308                
FORTLEZA  WETTZ13N  0727-115 2019 01 28 20 24  20.0000000000               49401                
   -4167408.22187655   0.00513  1041661.1647917794   0.00529 0      I      49402                
   0.00133    .00000    .00000    .00000  -0.837485799314845       0.0     49403                
  3.268   0.435  0.0063 -0.0085 -0.0114  0.0034        -27.341             49404
  -0.02400   0.00000    .00000    .00000    .00000    .00000               49405                
    27.833    -1.000  1007.500   927.200    85.600    99.700 0 0           49406                
        0.1018803086   0.00506       -0.0477919717   0.00352  0            49408                
FORTLEZA  WETTZELL  0727-115 2019 01 28 20 24  20.0000000000               49501                
   -4169624.76375767   0.00388  1041667.0824897535   0.00400 0      I      49502                
   0.00176    .00000    .00000    .00000  -1.451086836321671       0.0     49503                
  3.268   0.339  0.0063  0.0071 -0.0114  0.0022      -2597.971             49504
  -0.02400   0.00783    .00000    .00000    .00000    .00000               49505                
    27.833    -1.000  1007.500   927.200    85.600    99.700 0 0           49506                
        0.6064759376   0.00410       -0.0462648285   0.00288  0            49508                
FORTLEZA  YARRA12M  0727-115 2019 01 28 20 24  20.0000000000               49601                
   -1512215.44157265   0.01280  2770694.1110656918   0.01320 0      I      49602                
   0.00053    .00000    .00000    .00000  -3.193090732220873       0.0     49603                
  3.268   0.997  0.0063  0.0009 -0.0114  0.0049       6784.119             49604
  -0.02400   0.00000    .00000    .00000    .00000    .00000               49605                
    27.833    21.217  1007.500   977.083    85.600    24.500 0 0           49606                
       -0.6650217774   0.01642       -0.0710745690   0.01184  0            49608                
HART15M   ONSALA60  0727-115 2019 01 28 20 24  20.0000000000               49701                
   13850266.69829643   0.02459  -105943.8579602460   0.01898 0      I      49702                
   0.00024    .00000    .00000    .00000   0.756298201640316       0.0     49703                
  0.575   0.521  0.0007  0.0202 -0.0001  0.0006     -26379.690             49704
   0.00000   0.01800    .00000    .00000    .00000    .00000               49705                
    17.200    -0.200   866.100   990.500    87.523    82.129 0 0           49706                
        1.0546754652   0.01052        0.0058125031   0.00241  0            49708                
HART15M   WETTZ13N  0727-115 2019 01 28 20 24  20.0000000000               49801                
   11258141.18519669   0.00225  -170677.5606366244   0.00174 0      I      49802                
   0.00261    .00000    .00000    .00000   4.280721194035381       0.0     49803                
  0.575   0.435  0.0007 -0.0085 -0.0001  0.0034      -4069.604             49804
   0.00000   0.00000    .00000    .00000    .00000    .00000               49805                
    17.200    -1.000   866.100   927.200    87.523    99.700 0 0           49806                
        0.5653017017   0.00220        0.0032720774   0.00105  0            49808                
HART15M   WETTZELL  0727-115 2019 01 28 20 24  20.0000000000               49901                
   11255924.63748147   0.00170  -170671.6327337149   0.00131 0      I      49902                
   0.00346    .00000    .00000    .00000   3.662615087149550       0.0     49903                
  0.575   0.339  0.0007  0.0071 -0.0001  0.0022      -6640.234             49904
   0.00000   0.00783    .00000    .00000    .00000    .00000               49905                
    17.200    -1.000   866.100   927.200    87.523    99.700 0 0           49906                
        1.0654775473   0.00175        0.0022933166   0.00084  0            49908                
HART15M   YARRA12M  0727-115 2019 01 28 20 24  20.0000000000               50001                
   13913360.65019115   0.00551  1558352.6118872219   0.00425 0      I      50002                
   0.00107    .00000    .00000    .00000   2.786938159643396       0.0     50003                
  0.575   0.997  0.0007  0.0009 -0.0001  0.0049       2741.857             50004
   0.00000   0.00000    .00000    .00000    .00000    .00000               50005                
    17.200    21.217   866.100   977.083    87.523    24.500 0 0           50006                
       -0.2143130278   0.00502       -0.0218792862   0.00235  0            50008                
ONSALA60  WETTZ13N  0727-115 2019 01 28 20 24  20.0000000000               50101                
   -2592124.55447847   0.01392   -64733.9374202159   0.00866 0      I      50102                
   0.00038    .00000    .00000    .00000  -0.467925792484356       0.0     50103                
  0.521   0.435  0.0202 -0.0085  0.0006  0.0034      22310.086             50104
   0.01800   0.00000    .00000    .00000    .00000    .00000               50105                
    -0.200    -1.000   990.500   927.200    82.129    99.700 0 0           50106                
       -0.4870076885   0.00610       -0.0018795237   0.00123  0            50108                
ONSALA60  WETTZELL  0727-115 2019 01 28 20 24  20.0000000000               50201                
   -2594341.10517469   0.01056   -64728.0145477648   0.00657 0      I      50202                
   0.00050    .00000    .00000    .00000  -1.098975794374354       0.0     50203                
  0.521   0.339  0.0202  0.0071  0.0006  0.0022      19739.456             50204
   0.01800   0.00783    .00000    .00000    .00000    .00000               50205                
    -0.200    -1.000   990.500   927.200    82.129    99.700 0 0           50206                
        0.0147892079   0.00465       -0.0002617109   0.00095  0            50208                
ONSALA60  YARRA12M  0727-115 2019 01 28 20 24  20.0000000000               50301                
      63070.98292065   0.04996  1664296.9327421829   0.03109 0      I      50302                
   0.00011    .00000    .00000    .00000   3.823320879969291       0.1     50303                
  0.521   0.997  0.0202  0.0009  0.0006  0.0049      29121.546             50304
   0.01800   0.00000    .00000    .00000    .00000    .00000               50305                
    -0.200    21.217   990.500   977.083    82.129    24.500 0 0           50306                
       -1.2652425979   0.02230       -0.0092132668   0.00477  0            50308                
WETTZ13N  WETTZELL  0727-115 2019 01 28 20 24  20.0000000000               50401                
      -2216.54585657   0.00087        5.9232959325   0.00050 0      I      50402                
   0.00588    .00000    .00000    .00000  -0.622766638793470       0.0     50403                
  0.435   0.339 -0.0085  0.0071  0.0034  0.0022      -2570.630             50404
   0.00000   0.00783    .00000    .00000    .00000    .00000               50405                
    -1.000    -1.000   927.200   927.200    99.700    99.700 0 0           50406                
        0.5094032482   0.00128        0.0013814498   0.00043  0            50408                
WETTZ13N  YARRA12M  0727-115 2019 01 28 20 24  20.0000000000               50501                
    2655200.00018136   0.00454  1729030.9451157376   0.00263 0      I      50502                
   0.00112    .00000    .00000    .00000   5.207059434958112       0.0     50503                
  0.435   0.997 -0.0085  0.0009  0.0034  0.0049       6811.460             50504
   0.00000   0.00000    .00000    .00000    .00000    .00000               50505                
    -1.000    21.217   927.200   977.083    99.700    24.500 0 0           50506                
       -0.7667222039   0.00541       -0.0159460103   0.00199  0            50508                
WETTZELL  YARRA12M  0727-115 2019 01 28 20 24  20.0000000000               50601                
    2657416.53743603   0.00352  1729025.0236453465   0.00204 0      I      50602                
   0.00145    .00000    .00000    .00000   5.816853549765697       0.0     50603                
  0.339   0.997  0.0071  0.0009  0.0022  0.0049       9382.090             50604
   0.00783   0.00000    .00000    .00000    .00000    .00000               50605                
    -1.000    21.217   927.200   977.083    99.700    24.500 0 0           50606                
       -1.2699225669   0.00434       -0.0124353549   0.00160  0            50608                
ISHIOKA   NYALES20  2113+293 2019 01 28 20 26  55.0000000000               50701                
   -5788686.68776546   0.03355  1262036.7701973373   0.02991 0      I      50702                
   0.00019    .00000    .00000    .00000  -3.896060597770952       0.1     50703                
  0.597   0.235 -0.1401  0.0138  0.0201  0.0096    -147905.673             50704
   0.00000   0.01544    .00000    .00000    .00000    .00000               50705                
     1.071    -9.410  1000.239  1009.100    70.294    66.378 0 0           50706                
        0.0752211711   0.02524        0.1525074702   0.01296  0            50708                
FORTLEZA  HART15M   0454-234 2019 01 28 20 27  50.0000000000               50801                
   -3293981.13767461   0.02121  1478721.6053509405   0.06124 0      I      50802                
   0.00054    .00000    .00000    .00000  -3.608094320681229       0.0     50803                
  1.021   0.602  0.0011 -0.0000 -0.0005  0.0004       4042.236             50804
  -0.02000   0.00000    .00000    .00000    .00000    .00000               50805                
    27.900    17.200  1007.500   866.100    85.583    87.600 0 0           50806                
       -0.2884362829   0.01020       -0.0109422718   0.01286  0            50808                
FORTLEZA  ONSALA60  0454-234 2019 01 28 20 27  50.0000000000               50901                
   12648806.21120655   0.10471  1040011.7113453886   0.30237 2      I      50902                
   0.00012    .00000    .00000    .00000   0.762176597114448       0.2     50903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             50904
  -0.02000   0.01173    .00000    .00000    .00000    .00000               50905                
    27.900    -0.200  1007.500   990.600    85.583    82.383 0 0           50906                
        0.3238555435   0.04405       -3.0639432461   0.03703  0            50908                
FORTLEZA  WETTZ13N  0454-234 2019 01 28 20 27  50.0000000000               51001                
    9790212.45612193   0.01178  1089887.5046494873   0.03401 0      I      51002                
   0.00097    .00000    .00000    .00000   2.032141315067612       0.0     51003                
  1.021   0.637  0.0011 -0.0217 -0.0005 -0.0037        -27.383             51004
  -0.02000   0.00000    .00000    .00000    .00000    .00000               51005                
    27.900    -1.000  1007.500   927.200    85.583    99.700 0 0           51006                
        0.3244320434   0.00787       -0.0259902014   0.01360  0            51008                
FORTLEZA  WETTZELL  0454-234 2019 01 28 20 27  50.0000000000               51101                
    9788011.50220146   0.00935  1089878.6799745299   0.02701 0      I      51102                
   0.00122    .00000    .00000    .00000   0.354779995412767       0.0     51103                
  1.021   0.514  0.0011  0.0190 -0.0005 -0.0024      -2598.027             51104
  -0.02000   0.00433    .00000    .00000    .00000    .00000               51105                
    27.900    -1.000  1007.500   927.200    85.583    99.700 0 0           51106                
        0.8288792862   0.00678       -0.0306131157   0.01214  0            51108                
HART15M   ONSALA60  0454-234 2019 01 28 20 27  50.0000000000               51201                
   15942779.63089018   0.06262  -438748.9924457542   0.07009 0      I      51202                
   0.00011    .00000    .00000    .00000  -1.827611475455908       0.1     51203                
  0.602   1.154 -0.0000  0.0990  0.0004 -0.0009     -26379.801             51204
   0.00000   0.01173    .00000    .00000    .00000    .00000               51205                
    17.200    -0.200   866.100   990.600    87.600    82.383 0 0           51206                
        1.1046924760   0.02542       -0.0060424124   0.00625  0            51208                
HART15M   WETTZ13N  0454-234 2019 01 28 20 27  50.0000000000               51301                
   13084192.31970286   0.00583  -388833.5289522608   0.00653 0      I      51302                
   0.00121    .00000    .00000    .00000   2.476706524260066       0.0     51303                
  0.602   0.637 -0.0000 -0.0217  0.0004 -0.0037      -4069.619             51304
   0.00000   0.00000    .00000    .00000    .00000    .00000               51305                
    17.200    -1.000   866.100   927.200    87.600    99.700 0 0           51306                
        0.6042009175   0.00324       -0.0013785471   0.00176  0            51308                
HART15M   WETTZELL  0454-234 2019 01 28 20 27  50.0000000000               51401                
   13081991.33559076   0.00459  -388842.3493085684   0.00514 0      I      51402                
   0.00154    .00000    .00000    .00000   0.827541755541571       0.0     51403                
  0.602   0.514 -0.0000  0.0190  0.0004 -0.0024      -6640.263             51404
   0.00000   0.00433    .00000    .00000    .00000    .00000               51405                
    17.200    -1.000   866.100   927.200    87.600    99.700 0 0           51406                
        1.1005493252   0.00267       -0.0010752906   0.00151  0            51408                
ONSALA60  WETTZELL  0454-234 2019 01 28 20 27  50.0000000000               51501                
   -2860789.07633814   0.02351    49906.5978330047   0.02342 0      I      51502                
   0.00028    .00000    .00000    .00000  -0.970315086582236       0.0     51503                
  1.154   0.514  0.0990  0.0190 -0.0009 -0.0024      19739.538             51504
   0.01173   0.00433    .00000    .00000    .00000    .00000               51505                
    -0.200    -1.000   990.600   927.200    82.383    99.700 0 0           51506                
       -0.0049221706   0.01003       -0.0037934049   0.00293  0            51508                
WETTZ13N  WETTZELL  0454-234 2019 01 28 20 27  50.0000000000               51601                
      -2200.99230896   0.00196       -8.8182044919   0.00156 0      I      51602                
   0.00305    .00000    .00000    .00000  -1.613135128646922       0.0     51603                
  0.637   0.514 -0.0217  0.0190 -0.0037 -0.0024      -2570.644             51604
   0.00000   0.00433    .00000    .00000    .00000    .00000               51605                
    -1.000    -1.000   927.200   927.200    99.700    99.700 0 0           51606                
        0.4941621645   0.00217        0.0018615781   0.00098  0            51608                
ISHIOKA   KATH12M   OJ287    2019 01 28 20 29   8.0000000000               51701                
    2938845.84222641   0.00846   188453.2544646184   0.01796 0      I      51702                
   0.00116    .00000    .00000    .00000   2.709279849624467       0.0     51703                
  0.223   6.198 -0.0076 -0.0082 -0.0035 -0.1235       2043.866             51704
   0.00000   0.00000    .00000    .00000    .00000    .00000               51705                
     1.436    25.720  1000.279   989.180    70.260    85.117 0 0           51706                
       -0.1276851340   0.00807       -0.0037511937   0.01051  0            51708                
ISHIOKA   YARRA12M  OJ287    2019 01 28 20 29   8.0000000000               51801                
     577501.78175062   0.00862  -101048.9879831816   0.01831 0      I      51802                
   0.00114    .00000    .00000    .00000   3.042229048054501       0.0     51803                
  0.223   1.080 -0.0076 -0.0074 -0.0035  0.0069       7396.025             51804
   0.00000   0.00000    .00000    .00000    .00000    .00000               51805                
     1.436    21.263  1000.279   977.019    70.260    24.537 0 0           51806                
       -0.0410146856   0.00895       -0.0463083910   0.01184  0            51808                
KATH12M   YARRA12M  OJ287    2019 01 28 20 29   8.0000000000               51901                
   -2361343.22499475   0.01155  -289502.2145673544   0.02490 0      I      51902                
   0.00086    .00000    .00000    .00000   0.166220816607889       0.0     51903                
  6.198   1.080 -0.0082 -0.0074 -0.1235  0.0069       5352.159             51904
   0.00000   0.00000    .00000    .00000    .00000    .00000               51905                
    25.720    21.263   989.180   977.019    85.117    24.537 0 0           51906                
        0.1174618539   0.01321       -0.0642133223   0.01797  0            51908                
ISHIOKA   KATH12M   1424-418 2019 01 28 20 31  12.0000000000               52001                
  -14248712.67128543   0.00513  -160660.9704631647   0.00458 0      I      52002                
   0.00123    .00000    .00000    .00000  -4.113671218866853       0.0     52003                
  0.430   1.287  0.0963  0.0004  0.0001  0.0007       2043.770             52004
   0.00000   0.00000    .00000    .00000    .00000    .00000               52005                
     1.186    25.719  1000.200   989.222    68.851    85.237 0 0           52006                
       -0.1399284365   0.00476        0.0101529043   0.00258  0            52008                
ISHIOKA   YARRA12M  1424-418 2019 01 28 20 31  12.0000000000               52101                
  -14913563.47826642   0.00774  -422506.9594691296   0.00694 0      I      52102                
   0.00082    .00000    .00000    .00000  -0.014950348657459       0.0     52103                
  0.430   0.328  0.0963  0.0004  0.0001 -0.0003       7396.084             52104
   0.00000   0.00000    .00000    .00000    .00000    .00000               52105                
     1.186    21.116  1000.200   977.100    68.851    24.684 0 0           52106                
       -0.0720093153   0.00570        0.0068730438   0.00292  0            52108                
KATH12M   YARRA12M  1424-418 2019 01 28 20 31  12.0000000000               52201                
    -664854.54439731   0.00602  -261846.1478468353   0.00391 0      I      52202                
   0.00090    .00000    .00000    .00000  -6.074872846713588       0.0     52203                
  1.287   0.328  0.0004  0.0004  0.0007 -0.0003       5352.314             52204
   0.00000   0.00000    .00000    .00000    .00000    .00000               52205                
    25.719    21.116   989.222   977.100    85.237    24.684 0 0           52206                
        0.0652549384   0.00547       -0.0025460468   0.00216  0            52208                
FORTLEZA  HART15M   0748+126 2019 01 28 20 31  15.0000000000               52301                
  -13086279.04088417   0.02129  1146364.6996864178   0.03416 0      I      52302                
   0.00040    .00000    .00000    .00000  -4.320136510800772       0.0     52303                
  5.382   0.711 -0.0212  0.0028 -0.0127 -0.0005       4042.210             52304
  -0.01525   0.00000    .00000    .00000    .00000    .00000               52305                
    27.800    17.200  1007.600   866.118    86.200    87.618 0 0           52306                
       -0.4531622184   0.01351       -0.0912128547   0.01260  0            52308                
FORTLEZA  NYALES20  0748+126 2019 01 28 20 31  15.0000000000               52401                
   -5078461.58598116   0.04989  1343843.5782233279   0.08475 0      I      52402                
   0.00018    .00000    .00000    .00000  -0.018770924758774       0.1     52403                
  5.382   0.229 -0.0212 -0.0185 -0.0127 -0.0080    -148517.280             52404
  -0.01525   0.01359    .00000    .00000    .00000    .00000               52405                
    27.800    -9.281  1007.600  1009.200    86.200    66.568 0 0           52406                
       -0.5777198702   0.02487       -0.0755885887   0.01955  0            52408                
FORTLEZA  ONSALA60  0748+126 2019 01 28 20 31  15.0000000000               52501                
  -10538572.41652966   0.10286  1077466.1397729726   0.16502 2      I      52502                
   0.00008    .00000    .00000    .00000  -4.129085861572340       0.2     52503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             52504
  -0.01525   0.00866    .00000    .00000    .00000    .00000               52505                
    27.800    -0.200  1007.600   990.700    86.200    82.459 0 0           52506                
        2.2798194878   0.04519        0.3112879485   0.02534  0            52508                
FORTLEZA  WETTZ13N  0748+126 2019 01 28 20 31  15.0000000000               52601                
  -12300664.64669010   0.02343  1003235.3702550812   0.03759 0      I      52602                
   0.00036    .00000    .00000    .00000   0.951844000472692       0.0     52603                
  5.382   0.240 -0.0212 -0.0019 -0.0127  0.0014        -27.424             52604
  -0.01525   0.00000    .00000    .00000    .00000    .00000               52605                
    27.800    -1.000  1007.600   927.219    86.200    99.700 0 0           52606                
        0.0403768173   0.01394       -0.1024233704   0.01246  0            52608                
FORTLEZA  WETTZELL  0748+126 2019 01 28 20 31  15.0000000000               52701                
  -12302995.37287999   0.01557  1003242.5491617315   0.02498 0      I      52702                
   0.00055    .00000    .00000    .00000  -0.177639036557820       0.0     52703                
  5.382   0.200 -0.0212  0.0016 -0.0127  0.0009      -2598.081             52704
  -0.01525   0.00525    .00000    .00000    .00000    .00000               52705                
    27.800    -1.000  1007.600   927.218    86.200    99.700 0 0           52706                
        0.5389318558   0.01044       -0.0904969296   0.01003  0            52708                
HART15M   NYALES20  0748+126 2019 01 28 20 31  15.0000000000               52801                
    8007819.95617298   0.01092   197477.4846914704   0.01855 0      I      52802                
   0.00080    .00000    .00000    .00000  -0.151670120004780       0.0     52803                
  0.711   0.229  0.0028 -0.0185 -0.0005 -0.0080    -152559.491             52804
   0.00000   0.01359    .00000    .00000    .00000    .00000               52805                
    17.200    -9.281   866.118  1009.200    87.618    66.568 0 0           52806                
       -0.0908369318   0.00732       -0.0035954602   0.00683  0            52808                
HART15M   ONSALA60  0748+126 2019 01 28 20 31  15.0000000000               52901                
    2547741.23880598   0.09541   -68849.3936304424   0.14350 2      I      52902                
   0.00010    .00000    .00000    .00000   1.767439347996385       0.2     52903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             52904
   0.00000   0.00866    .00000    .00000    .00000    .00000               52905                
    17.200    -0.200   866.118   990.700    87.618    82.459 0 0           52906                
        0.0226564519   0.03942       -3.4316546814   0.01468  0            52908                
HART15M   WETTZ13N  0748+126 2019 01 28 20 31  15.0000000000               53001                
     785612.58221249   0.00623  -143129.6802134074   0.00666 0      I      53002                
   0.00111    .00000    .00000    .00000   2.946736613479747       0.0     53003                
  0.711   0.240  0.0028 -0.0019 -0.0005  0.0014      -4069.634             53004
   0.00000   0.00000    .00000    .00000    .00000    .00000               53005                
    17.200    -1.000   866.118   927.219    87.618    99.700 0 0           53006                
        0.5015905819   0.00495       -0.0106719713   0.00310  0            53008                
HART15M   WETTZELL  0748+126 2019 01 28 20 31  15.0000000000               53101                
     783281.82995749   0.00467  -143122.4827010764   0.00499 0      I      53102                
   0.00148    .00000    .00000    .00000   1.785826877426729       0.0     53103                
  0.711   0.200  0.0028  0.0016 -0.0005  0.0009      -6640.292             53104
   0.00000   0.00525    .00000    .00000    .00000    .00000               53105                
    17.200    -1.000   866.118   927.218    87.618    99.700 0 0           53106                
        0.9913958240   0.00381       -0.0079272038   0.00241  0            53108                
NYALES20  ONSALA60  0748+126 2019 01 28 20 31  15.0000000000               53201                
   -5460099.41122699   0.09790  -266427.5998633339   0.16629 2      I      53202                
   0.00011    .00000    .00000    .00000   2.235768742543943       0.2     53203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             53204
   0.01359   0.00866    .00000    .00000    .00000    .00000               53205                
    -9.281    -0.200  1009.200   990.700    66.568    82.459 0 0           53206                
        1.8852164865   0.04005        4.2858290626   0.01567  0            53208                
NYALES20  WETTZ13N  0748+126 2019 01 28 20 31  15.0000000000               53301                
   -7222204.62111175   0.00557  -340607.4382840904   0.00946 0      I      53302                
   0.00157    .00000    .00000    .00000  -4.181044134439786       0.0     53303                
  0.229   0.240 -0.0185 -0.0019 -0.0080  0.0014     148489.856             53304
   0.01359   0.00000    .00000    .00000    .00000    .00000               53305                
    -9.281    -1.000  1009.200   927.219    66.568    99.700 0 0           53306                
        0.5835175153   0.00475        0.0012674350   0.00483  0            53308                
NYALES20  WETTZELL  0748+126 2019 01 28 20 31  15.0000000000               53401                
   -7224535.39160370   0.00418  -340600.2430454961   0.00711 0      I      53402                
   0.00209    .00000    .00000    .00000   0.992764868781332       0.0     53403                
  0.229   0.200 -0.0185  0.0016 -0.0080  0.0009     145919.199             53404
   0.01359   0.00525    .00000    .00000    .00000    .00000               53405                
    -9.281    -1.000  1009.200   927.218    66.568    99.700 0 0           53406                
        1.0843514543   0.00372       -0.0023889376   0.00382  0            53408                
ONSALA60  WETTZ13N  0748+126 2019 01 28 20 31  15.0000000000               53501                
   -1762116.40817393   0.05516   -74235.8517156450   0.08297 0      I      53502                
   0.00015    .00000    .00000    .00000  -1.299076131302984       0.1     53503                
  0.305   0.240  0.0036 -0.0019  0.0001  0.0014      22310.274             53504
   0.00866   0.00000    .00000    .00000    .00000    .00000               53505                
    -0.200    -1.000   990.700   927.219    82.459    99.700 0 0           53506                
       -0.4414306600   0.02294        0.0052817950   0.00890  0            53508                
ONSALA60  WETTZELL  0748+126 2019 01 28 20 31  15.0000000000               53601                
   -1764447.05664997   0.05401   -74228.6240452849   0.08123 0      I      53602                
   0.00015    .00000    .00000    .00000  -2.472196993586234       0.1     53603                
  0.305   0.200  0.0036  0.0016  0.0001  0.0009      19739.617             53604
   0.00866   0.00525    .00000    .00000    .00000    .00000               53605                
    -0.200    -1.000   990.700   927.218    82.459    99.700 0 0           53606                
        0.0373988835   0.02215        0.0022083842   0.00789  0            53608                
WETTZ13N  WETTZELL  0748+126 2019 01 28 20 31  15.0000000000               53701                
      -2330.74758896   0.00210        7.2009516934   0.00175 0      I      53702                
   0.00291    .00000    .00000    .00000  -1.140772909260657       0.0     53703                
  0.240   0.200 -0.0019  0.0016  0.0014  0.0009      -2570.657             53704
   0.00000   0.00525    .00000    .00000    .00000    .00000               53705                
    -1.000    -1.000   927.219   927.218    99.700    99.700 0 0           53706                
        0.4964202825   0.00220       -0.0007392403   0.00103  0            53708                
ISHIOKA   NYALES20  3C418    2019 01 28 20 34   5.0000000000               53801                
   -5331503.35014489   0.01017   904656.5024575421   0.02937 0      I      53802                
   0.00112    .00000    .00000    .00000  -4.073360813659087       0.0     53803                
  0.211   0.134 -0.0134  0.0043  0.0005  0.0021    -147905.250             53804
   0.00000   0.02914    .00000    .00000    .00000    .00000               53805                
     0.957    -9.222  1000.176  1009.111    67.948    67.022 0 0           53806                
        0.1569089580   0.00812       -0.0152491708   0.01379  0            53808                
ISHIOKA   ONSALA60  3C418    2019 01 28 20 34   5.0000000000               53901                
     564609.11075712   0.07370  1127542.1546882268   0.22641 0      I      53902                
   0.00016    .00000    .00000    .00000   1.976864876639982       0.1     53903                
  0.211   0.447 -0.0134 -0.0124  0.0005 -0.0001     -21725.908             53904
   0.00000   0.01290    .00000    .00000    .00000    .00000               53905                
     0.957    -0.248  1000.176   990.700    67.948    82.200 0 0           53906                
        1.1733434798   0.03402        0.0058733857   0.03897  0            53908                
ISHIOKA   WETTZ13N  3C418    2019 01 28 20 34   5.0000000000               54001                
    3257586.93308222   0.01074  1193643.3080416655   0.03101 0      I      54002                
   0.00106    .00000    .00000    .00000   2.748916741392553       0.0     54003                
  0.211   0.610 -0.0134  0.0213  0.0005 -0.0078        584.445             54004
   0.00000   0.00000    .00000    .00000    .00000    .00000               54005                
     0.957    -1.019  1000.176   927.300    67.948    99.700 0 0           54006                
        0.7224353793   0.01227        0.0420370460   0.02236  0            54008                
NYALES20  ONSALA60  3C418    2019 01 28 20 34   5.0000000000               54101                
    5896113.46255219   0.05148   222885.0210806880   0.15816 0      I      54102                
   0.00023    .00000    .00000    .00000   3.560965157818424       0.1     54103                
  0.134   0.447  0.0043 -0.0124  0.0021 -0.0001     126179.342             54104
   0.02914   0.01290    .00000    .00000    .00000    .00000               54105                
    -9.222    -0.248  1009.111   990.700    67.022    82.200 0 0           54106                
        1.0273469034   0.02249       -0.0188234016   0.02217  0            54108                
NYALES20  WETTZ13N  3C418    2019 01 28 20 34   5.0000000000               54201                
    8589091.81413932   0.00548   288986.4510237691   0.01582 0      I      54202                
   0.00208    .00000    .00000    .00000   2.571311327243496       0.0     54203                
  0.134   0.610  0.0043  0.0213  0.0021 -0.0078     148489.695             54204
   0.02914   0.00000    .00000    .00000    .00000    .00000               54205                
    -9.222    -1.019  1009.111   927.300    67.022    99.700 0 0           54206                
        0.5597545857   0.00531        0.0184478637   0.00944  0            54208                
ONSALA60  WETTZ13N  3C418    2019 01 28 20 34   5.0000000000               54301                
    2692977.91565407   0.04145    66101.4158484062   0.12732 0      I      54302                
   0.00028    .00000    .00000    .00000   4.663777768375255       0.1     54303                
  0.447   0.610 -0.0124  0.0213 -0.0001 -0.0078      22310.353             54304
   0.01290   0.00000    .00000    .00000    .00000    .00000               54305                
    -0.248    -1.019   990.700   927.300    82.200    99.700 0 0           54306                
       -0.4648806822   0.01748        0.0064972850   0.01499  0            54308                
FORTLEZA  HART15M   0606-223 2019 01 28 20 35   7.0000000000               54401                
   -8844589.81523563   0.01249  1427162.2550678106   0.00935 0      I      54402                
   0.00046    .00000    .00000    .00000  -1.217964233982441       0.0     54403                
  1.377   0.543  0.0023  0.0001 -0.0011  0.0003       4042.182             54404
  -0.01650   0.00000    .00000    .00000    .00000    .00000               54405                
    27.888    17.200  1007.700   866.200    86.335    87.784 0 0           54406                
       -0.3359463845   0.01023       -0.0198346060   0.00494  0            54408                
FORTLEZA  WETTZELL  0606-223 2019 01 28 20 35   7.0000000000               54501                
    5211037.87760851   0.01056  1113472.8236999500   0.00790 0      I      54502                
   0.00055    .00000    .00000    .00000   2.022334890143668       0.0     54503                
  1.377   0.508  0.0023  0.0163 -0.0011  0.0005      -2598.141             54504
  -0.01650   0.00644    .00000    .00000    .00000    .00000               54505                
    27.888    -1.000  1007.700   927.323    86.335    99.700 0 0           54506                
        0.7506050166   0.01319       -0.0332512291   0.00688  0            54508                
HART15M   WETTZELL  0606-223 2019 01 28 20 35   7.0000000000               54601                
   14055624.93972922   0.00629  -313689.1980272366   0.00378 0      I      54602                
   0.00082    .00000    .00000    .00000   4.378656013645846       0.0     54603                
  0.543   0.508  0.0001  0.0163  0.0003  0.0005      -6640.323             54604
   0.00000   0.00644    .00000    .00000    .00000    .00000               54605                
    17.200    -1.000   866.200   927.323    87.784    99.700 0 0           54606                
        1.1042965693   0.00659       -0.0039567522   0.00247  0            54608                
NYALES20  ONSALA60  0133+476 2019 01 28 20 35  50.0000000000               54701                
     170983.04503030   0.05132   325027.5810788398   0.15767 0      I      54702                
   0.00023    .00000    .00000    .00000  -1.309842093167684       0.1     54703                
  0.117   0.238 -0.0007 -0.0006  0.0023  0.0001     126179.194             54704
  -0.01006   0.01499    .00000    .00000    .00000    .00000               54705                
    -9.050    -0.300  1009.140   990.700    66.740    82.593 0 0           54706                
        1.0496458578   0.02342       -0.0129768265   0.02612  0            54708                
NYALES20  WETTZ13N  0133+476 2019 01 28 20 35  50.0000000000               54801                
     975367.13823817   0.00606   437755.3685613928   0.01750 0      I      54802                
   0.00188    .00000    .00000    .00000   2.221913247498642       0.0     54803                
  0.117   0.218 -0.0007  0.0009  0.0023 -0.0017     148489.595             54804
  -0.01006   0.00000    .00000    .00000    .00000    .00000               54805                
    -9.050    -1.079  1009.140   927.300    66.740    99.700 0 0           54806                
        0.6098789947   0.00743       -0.0258363769   0.01365  0            54808                
ONSALA60  WETTZ13N  0133+476 2019 01 28 20 35  50.0000000000               54901                
