DATA IN NGS FORMAT FROM DATABASE 19FEB14XE_V002                                                 
FORTLEZA  WARK12M   0454-234 2019 02 15 01 52  32.0000000000              148101                
    4421848.50963998   0.02899 -2376010.1892649890   0.02297 0      I     148102                
   0.00025    .00000    .00000    .00000  -1.473562584341395       0.0    148103                
  2.264   1.825 -0.0018 -0.0104 -0.0022  0.0133     -64067.982            148104
   0.02067   0.00000    .00000    .00000    .00000    .00000              148105                
    25.400    10.000  1010.400  1000.000   100.000    50.000 0 0          148106                
        0.8982291865   0.05202       -0.2983054965   0.00926  0           148108                
BADARY    ISHIOKA   1751+288 2019 02 15 01 52  40.0000000000              148201                
    2534952.90234121   0.00957   674075.8805520154   0.01663 0      I     148202                
   0.00093    .00000    .00000    .00000   3.301086708113549       0.0    148203                
  0.008   0.241 -0.0002 -0.0000  0.0005  0.0008    -429070.735            148204
   0.00000   0.00000    .00000    .00000    .00000    .00000              148205                
   -19.086     1.782   932.719  1012.473    47.501    54.420 0 0          148206                
        3.5997065236   0.00718        0.0142061107   0.00721  0           148208                
BADARY    KATH12M   1751+288 2019 02 15 01 52  40.0000000000              148301                
    7302599.15070885   0.01698   686921.9364471087   0.02951 0      I     148302                
   0.00052    .00000    .00000    .00000   5.489067421741001       0.0    148303                
  0.008   1.442 -0.0002  0.0022  0.0005  0.0002    -408342.543            148304
   0.00000   0.00000    .00000    .00000    .00000    .00000              148305                
   -19.086    33.198   932.719   996.482    47.501    50.124 0 0          148306                
        3.7407921955   0.01318        0.0231223643   0.01338  0           148308                
BADARY    NYALES20  1751+288 2019 02 15 01 52  40.0000000000              148401                
    8727768.87567908   0.00644  -357014.6292840258   0.01154 0      I     148402                
   0.00139    .00000    .00000    .00000   4.300277584868160       0.0    148403                
  0.008   0.100 -0.0002  0.0000  0.0005 -0.0111    -722005.455            148404
   0.00000  -0.00942    .00000    .00000    .00000    .00000              148405                
   -19.086   -13.711   932.719   991.600    47.501    64.217 0 0          148406                
        3.6482972276   0.00548        0.0516617367   0.00588  0           148408                
BADARY    SVETLOE   1751+288 2019 02 15 01 52  40.0000000000              148501                
    6856519.71418016   0.00414  -708575.6418094120   0.00719 0      I     148502                
   0.00214    .00000    .00000    .00000   0.660217275043682       0.0    148503                
  0.008   0.325 -0.0002  0.0003  0.0005 -0.0022        503.135            148504
   0.00000   0.00000    .00000    .00000    .00000    .00000              148505                
   -19.086     1.700   932.719  1000.719    47.501    86.339 0 0          148506                
        2.7211822255   0.00322        0.0116780698   0.00357  0           148508                
BADARY    WETTZ13N  1751+288 2019 02 15 01 52  40.0000000000              148601                
   10034480.79527903   0.00688  -980738.9117399649   0.01195 0      I     148602                
   0.00129    .00000    .00000    .00000   5.167586061280957       0.0    148603                
  0.008   0.264 -0.0002  0.0012  0.0005 -0.0039    -427977.713            148604
   0.00000   0.00000    .00000    .00000    .00000    .00000              148605                
   -19.086     0.500   932.719   962.619    47.501    82.319 0 0          148606                
        4.3183003714   0.00589        0.0099719095   0.00614  0           148608                
BADARY    WETTZELL  1751+288 2019 02 15 01 52  40.0000000000              148701                
   10031879.38983451   0.00557  -980719.4449819479   0.00969 0      I     148702                
   0.00159    .00000    .00000    .00000   5.792409459384296       0.0    148703                
  0.008   0.253 -0.0002  0.0015  0.0005 -0.0003    -433104.635            148704
   0.00000   0.01562    .00000    .00000    .00000    .00000              148705                
   -19.086     0.500   932.719   962.619    47.501    82.319 0 0          148706                
        4.8073905897   0.00466        0.0198179441   0.00484  0           148708                
BADARY    YARRA12M  1751+288 2019 02 15 01 52  40.0000000000              148801                
    8881883.67766787   0.01733   304216.4290811829   0.03103 1      I     148802                
   0.00052    .00000    .00000    .00000   2.008925208264846       0.0    148803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            148804
   0.00000   0.00000    .00000    .00000    .00000    .00000              148805                
   -19.086    25.726   932.719   986.400    47.501    50.000 0 0          148806                
        7.5139146465   0.01333        0.0207075266   0.01389  0           148808                
ISHIOKA   KATH12M   1751+288 2019 02 15 01 52  40.0000000000              148901                
    4767646.20635813   0.02276    12846.1171993258   0.01345 0      I     148902                
   0.00023    .00000    .00000    .00000   0.121550408899121       0.0    148903                
  0.241   1.442 -0.0000  0.0022  0.0008  0.0002      20728.193            148904
   0.00000   0.00000    .00000    .00000    .00000    .00000              148905                
     1.782    33.198  1012.473   996.482    54.420    50.124 0 0          148906                
        0.1381410298   0.01905       -0.0010946415   0.00672  0           148908                
ISHIOKA   NYALES20  1751+288 2019 02 15 01 52  40.0000000000              149001                
    6192818.82782142   0.01000 -1031089.6337977652   0.00687 0      I     149002                
   0.00055    .00000    .00000    .00000   2.866714747993373       0.0    149003                
  0.241   0.100 -0.0000  0.0000  0.0008 -0.0111    -292934.720            149004
   0.00000  -0.00942    .00000    .00000    .00000    .00000              149005                
     1.782   -13.711  1012.473   991.600    54.420    64.217 0 0          149006                
        0.0391613539   0.01039        0.0268062655   0.00446  0           149008                
ISHIOKA   SVETLOE   1751+288 2019 02 15 01 52  40.0000000000              149101                
    4321570.60877635   0.01190 -1382650.4688656358   0.02069 0      I     149102                
   0.00075    .00000    .00000    .00000   5.049948376977759       0.0    149103                
  0.241   0.325 -0.0000  0.0003  0.0008 -0.0022     429573.871            149104
   0.00000   0.00000    .00000    .00000    .00000    .00000              149105                
     1.782     1.700  1012.473  1000.719    54.420    86.339 0 0          149106                
       -0.8980398075   0.00989       -0.0078717632   0.01119  0           149108                
ISHIOKA   WETTZ13N  1751+288 2019 02 15 01 52  40.0000000000              149201                
    7499532.47370504   0.01328 -1654813.5669753917   0.01330 0      I     149202                
   0.00051    .00000    .00000    .00000   0.324283505269511       0.0    149203                
  0.241   0.264 -0.0000  0.0012  0.0008 -0.0039       1093.023            149204
   0.00000   0.00000    .00000    .00000    .00000    .00000              149205                
     1.782     0.500  1012.473   962.619    54.420    82.319 0 0          149206                
        0.7106212377   0.01248       -0.0142701949   0.00766  0           149208                
ISHIOKA   WETTZELL  1751+288 2019 02 15 01 52  40.0000000000              149301                
    7496931.04165769   0.00959 -1654794.0963367491   0.00821 0      I     149302                
   0.00065    .00000    .00000    .00000  -1.502676660852305       0.0    149303                
  0.241   0.253 -0.0000  0.0015  0.0008 -0.0003      -4033.900            149304
   0.00000   0.01562    .00000    .00000    .00000    .00000              149305                
     1.782     0.500  1012.473   962.619    54.420    82.319 0 0          149306                
        1.1867236992   0.00924       -0.0016990934   0.00487  0           149308                
ISHIOKA   YARRA12M  1751+288 2019 02 15 01 52  40.0000000000              149401                
    6346931.83901923   0.02444  -369859.3209317515   0.01458 1      I     149402                
   0.00021    .00000    .00000    .00000   0.734382716134918       0.0    149403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            149404
   0.00000   0.00000    .00000    .00000    .00000    .00000              149405                
     1.782    25.726  1012.473   986.400    54.420    50.000 0 0          149406                
        3.8787897359   0.02252        0.0027100969   0.00821  0           149408                
KATH12M   NYALES20  1751+288 2019 02 15 01 52  40.0000000000              149501                
    1425177.53161163   0.01690 -1043935.3742838986   0.01161 0      I     149502                
   0.00033    .00000    .00000    .00000   1.721436169642466       0.0    149503                
  1.442   0.100  0.0022  0.0000  0.0002 -0.0111    -313662.913            149504
   0.00000  -0.00942    .00000    .00000    .00000    .00000              149505                
    33.198   -13.711   996.482   991.600    50.124    64.217 0 0          149506                
       -0.1194770264   0.01880        0.0210748701   0.00814  0           149508                
KATH12M   SVETLOE   1751+288 2019 02 15 01 52  40.0000000000              149601                
    -446068.98650874   0.01772 -1395496.1365761356   0.03079 0      I     149602                
   0.00050    .00000    .00000    .00000  -4.117794324866513       0.0    149603                
  1.442   0.325  0.0022  0.0003  0.0002 -0.0022     408845.678            149604
   0.00000   0.00000    .00000    .00000    .00000    .00000              149605                
    33.198     1.700   996.482  1000.719    50.124    86.339 0 0          149606                
       -1.0168508563   0.01656       -0.0096190424   0.01926  0           149608                
KATH12M   WETTZ13N  1751+288 2019 02 15 01 52  40.0000000000              149701                
    2731894.12938600   0.01927 -1667659.2264359046   0.01930 0      I     149702                
   0.00035    .00000    .00000    .00000   1.630807599324579       0.0    149703                
  1.442   0.264  0.0022  0.0012  0.0002 -0.0039     -19635.170            149704
   0.00000   0.00000    .00000    .00000    .00000    .00000              149705                
    33.198     0.500   996.482   962.619    50.124    82.319 0 0          149706                
        0.5415616779   0.02005        0.0030201060   0.01253  0           149708                
KATH12M   WETTZELL  1751+288 2019 02 15 01 52  40.0000000000              149801                
    2729292.72782023   0.01400 -1667639.8627167214   0.01198 0      I     149802                
   0.00044    .00000    .00000    .00000   2.338307102414719       0.0    149803                
  1.442   0.253  0.0022  0.0015  0.0002 -0.0003     -24762.093            149804
   0.00000   0.01562    .00000    .00000    .00000    .00000              149805                
    33.198     0.500   996.482   962.619    50.124    82.319 0 0          149806                
        1.0379224390   0.01721        0.0069351865   0.00940  0           149808                
KATH12M   YARRA12M  1751+288 2019 02 15 01 52  40.0000000000              149901                
    1579287.36964383   0.03366  -382705.4690391500   0.01362 1      I     149902                
   0.00013    .00000    .00000    .00000   0.636026051807784       0.1    149903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            149904
   0.00000   0.00000    .00000    .00000    .00000    .00000              149905                
    33.198    25.726   996.482   986.400    50.124    50.000 0 0          149906                
        3.7765747057   0.02220        0.0117841694   0.00491  0           149908                
NYALES20  SVETLOE   1751+288 2019 02 15 01 52  40.0000000000              150001                
   -1871245.98841310   0.00768  -351561.2861946943   0.01375 0      I     150002                
   0.00116    .00000    .00000    .00000  -1.958662037431236       0.0    150003                
  0.100   0.325  0.0000  0.0003 -0.0111 -0.0022     722508.591            150004
  -0.00942   0.00000    .00000    .00000    .00000    .00000              150005                
   -13.711     1.700   991.600  1000.719    64.217    86.339 0 0          150006                
       -0.9292652177   0.00625       -0.0434900825   0.00724  0           150008                
NYALES20  WETTZ13N  1751+288 2019 02 15 01 52  40.0000000000              150101                
    1306717.57979478   0.00947  -623724.5441404975   0.00965 0      I     150102                
   0.00071    .00000    .00000    .00000   4.482542731976529       0.0    150103                
  0.100   0.264  0.0000  0.0012 -0.0111 -0.0039     294027.743            150104
  -0.00942   0.00000    .00000    .00000    .00000    .00000              150105                
   -13.711     0.500   991.600   962.619    64.217    82.319 0 0          150106                
        0.6669010116   0.00838       -0.0044287353   0.00516  0           150108                
NYALES20  WETTZELL  1751+288 2019 02 15 01 52  40.0000000000              150201                
    1304116.17267319   0.00667  -623705.0958909512   0.00580 0      I     150202                
   0.00093    .00000    .00000    .00000   5.097167288369301       0.0    150203                
  0.100   0.253  0.0000  0.0015 -0.0111 -0.0003     288900.820            150204
  -0.00942   0.01562    .00000    .00000    .00000    .00000              150205                
   -13.711     0.500   991.600   962.619    64.217    82.319 0 0          150206                
        1.1574627437   0.00653       -0.0133796280   0.00350  0           150208                
NYALES20  YARRA12M  1751+288 2019 02 15 01 52  40.0000000000              150301                
     154108.81744859   0.02046   661230.4963727955   0.01406 1      I     150302                
   0.00027    .00000    .00000    .00000   1.427374982081987       0.0    150303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            150304
  -0.00942   0.00000    .00000    .00000    .00000    .00000              150305                
   -13.711    25.726   991.600   986.400    64.217    50.000 0 0          150306                
        3.8454658273   0.02297       -0.0311957669   0.00996  0           150308                
SVETLOE   WETTZ13N  1751+288 2019 02 15 01 52  40.0000000000              150401                
    3177962.95915963   0.00668  -272163.3708546132   0.01160 0      I     150402                
   0.00133    .00000    .00000    .00000   2.993145391267686       0.0    150403                
  0.325   0.264  0.0003  0.0012 -0.0022 -0.0039    -428480.848            150404
   0.00000   0.00000    .00000    .00000    .00000    .00000              150405                
     1.700     0.500  1000.719   962.619    86.339    82.319 0 0          150406                
        1.5913551298   0.00597        0.0000441975   0.00687  0           150408                
SVETLOE   WETTZELL  1751+288 2019 02 15 01 52  40.0000000000              150501                
    3175361.54151903   0.00523  -272143.9123206927   0.00909 0      I     150502                
   0.00170    .00000    .00000    .00000   3.621741423371231       0.0    150503                
  0.325   0.253  0.0003  0.0015 -0.0022 -0.0003    -433607.771            150504
   0.00000   0.01562    .00000    .00000    .00000    .00000              150505                
     1.700     0.500  1000.719   962.619    86.339    82.319 0 0          150506                
        2.0960018617   0.00481        0.0022607883   0.00557  0           150508                
SVETLOE   YARRA12M  1751+288 2019 02 15 01 52  40.0000000000              150601                
    2025357.04214900   0.02102  1012792.4093886439   0.03764 1      I     150602                
   0.00043    .00000    .00000    .00000   0.817151232811545       0.0    150603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            150604
   0.00000   0.00000    .00000    .00000    .00000    .00000              150605                
     1.700    25.726  1000.719   986.400    86.339    50.000 0 0          150606                
        4.7939534524   0.01676        0.0292539172   0.01929  0           150608                
WETTZ13N  WETTZELL  1751+288 2019 02 15 01 52  40.0000000000              150701                
      -2601.41846919   0.00491       19.4622812311   0.00492 0      I     150702                
   0.00137    .00000    .00000    .00000  -5.650599327130885       0.0    150703                
  0.264   0.253  0.0012  0.0015 -0.0039 -0.0003      -5126.923            150704
   0.00000   0.01562    .00000    .00000    .00000    .00000              150705                
     0.500     0.500   962.619   962.619    82.319    82.319 0 0          150706                
        0.5118529057   0.00954        0.0035080183   0.00466  0           150708                
WETTZ13N  YARRA12M  1751+288 2019 02 15 01 52  40.0000000000              150801                
   -1152610.26340644   0.02682  1284955.8914290334   0.02732 1      I     150802                
   0.00025    .00000    .00000    .00000  -4.833081843090427       0.0    150803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            150804
   0.00000   0.00000    .00000    .00000    .00000    .00000              150805                
     0.500    25.726   962.619   986.400    82.319    50.000 0 0          150806                
        3.2021050603   0.02257        0.0145698013   0.01375  0           150808                
WETTZELL  YARRA12M  1751+288 2019 02 15 01 52  40.0000000000              150901                
   -1150008.82994086   0.01733  1284936.3487063071   0.01506 1      I     150902                
   0.00036    .00000    .00000    .00000  -5.233647370017027       0.0    150903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            150904
   0.01562   0.00000    .00000    .00000    .00000    .00000              150905                
     0.500    25.726   962.619   986.400    82.319    50.000 0 0          150906                
        2.7250733633   0.01608        0.0143681110   0.00854  0           150908                
BADARY    HART15M   1639+230 2019 02 15 01 55  30.0000000000              151001                
    9316539.37874674   0.02811 -1353448.4687397615   0.05726 0      I     151002                
   0.00034    .00000    .00000    .00000   5.819647738381408       0.0    151003                
  0.009   2.061 -0.0002  0.0083  0.0023  0.0107    -422459.637            151004
   0.00000   0.00000    .00000    .00000    .00000    .00000              151005                
   -18.545    16.486   932.800   864.400    45.623    88.286 0 0          151006                
       -0.0186328929   0.01388        0.0312810931   0.01195  0           151008                
BADARY    SVETLOE   1639+230 2019 02 15 01 55  30.0000000000              151101                
    3701096.96467690   0.00782  -895703.3026841354   0.01541 8      I     151102                
   0.00121    .00000    .00000    .00000   2.042025770611496       0.0    151103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            151104
   0.00000   0.00000    .00000    .00000    .00000    .00000              151105                
   -18.545     1.700   932.800  1000.829    45.623    86.515 0 0          151106                
        0.0000000000   0.00000        0.0000000000   0.00000  0           151108                
BADARY    WETTZ13N  1639+230 2019 02 15 01 55  30.0000000000              151201                
    5382089.72307546   0.01187 -1221343.3953390566   0.02419 0      I     151202                
   0.00080    .00000    .00000    .00000   1.137640499186506       0.0    151203                
  0.009   0.196 -0.0002 -0.0002  0.0023 -0.0024    -427977.717            151204
   0.00000   0.00000    .00000    .00000    .00000    .00000              151205                
   -18.545     0.500   932.800   962.700    45.623    82.400 0 0          151206                
        4.3357703087   0.00814        0.0122379370   0.00923  0           151208                
BADARY    WETTZELL  1639+230 2019 02 15 01 55  30.0000000000              151301                
    5379602.03615269   0.00900 -1221326.1952048782   0.01834 0      I     151302                
   0.00106    .00000    .00000    .00000   0.298207329903568       0.0    151303                
  0.009   0.194 -0.0002 -0.0002  0.0023 -0.0003    -433104.643            151304
   0.00000   0.01529    .00000    .00000    .00000    .00000              151305                
   -18.545     0.500   932.800   962.700    45.623    82.400 0 0          151306                
        4.8217464347   0.00662        0.0206552013   0.00772  0           151308                
HART15M   SVETLOE   1639+230 2019 02 15 01 55  30.0000000000              151401                
   -5615446.71090522   0.04816   457745.9034478968   0.09813 0      I     151402                
   0.00020    .00000    .00000    .00000  -6.084631734212075       0.1    151403                
  2.061   0.304  0.0083  0.0011  0.0107 -0.0015     422963.209            151404
   0.00000   0.00000    .00000    .00000    .00000    .00000              151405                
    16.486     1.700   864.400  1000.829    88.286    86.515 0 0          151406                
        2.7252896151   0.02281       -0.0309444522   0.01976  0           151408                
HART15M   WETTZ13N  1639+230 2019 02 15 01 55  30.0000000000              151501                
   -3934450.80365163   0.05524   132105.4857266136   0.05627 0      I     151502                
   0.00012    .00000    .00000    .00000  -1.138080586556642       0.1    151503                
  2.061   0.196  0.0083 -0.0002  0.0107 -0.0024      -5518.080            151504
   0.00000   0.00000    .00000    .00000    .00000    .00000              151505                
    16.486     0.500   864.400   962.700    88.286    82.400 0 0          151506                
        4.3271093259   0.02465       -0.0175665896   0.00864  0           151508                
HART15M   WETTZELL  1639+230 2019 02 15 01 55  30.0000000000              151601                
   -3936938.61405102   0.05103   132122.8927112589   0.09422 0      I     151602                
   0.00018    .00000    .00000    .00000  -2.029603189390712       0.1    151603                
  2.061   0.194  0.0083 -0.0002  0.0107 -0.0003     -10645.006            151604
   0.00000   0.01529    .00000    .00000    .00000    .00000              151605                
    16.486     0.500   864.400   962.700    88.286    82.400 0 0          151606                
        4.8628173976   0.02369       -0.0327338791   0.01648  0           151608                
SVETLOE   WETTZ13N  1639+230 2019 02 15 01 55  30.0000000000              151701                
    1680993.95936724   0.01048  -325640.3522081327   0.02136 0      I     151702                
   0.00091    .00000    .00000    .00000   0.998256506686157       0.0    151703                
  0.304   0.196  0.0011 -0.0002 -0.0015 -0.0024    -428481.290            151704
   0.00000   0.00000    .00000    .00000    .00000    .00000              151705                
     1.700     0.500  1000.829   962.700    86.515    82.400 0 0          151706                
        1.5996630287   0.01325        0.0318128013   0.01889  0           151708                
SVETLOE   WETTZELL  1639+230 2019 02 15 01 55  30.0000000000              151801                
    1678506.26528073   0.00781  -325623.2077052628   0.01592 0      I     151802                
   0.00122    .00000    .00000    .00000   0.187226699442971       0.0    151803                
  0.304   0.194  0.0011 -0.0002 -0.0015 -0.0003    -433608.216            151804
   0.00000   0.01529    .00000    .00000    .00000    .00000              151805                
     1.700     0.500  1000.829   962.700    86.515    82.400 0 0          151806                
        2.0951526956   0.00929        0.0070141703   0.01316  0           151808                
WETTZ13N  WETTZELL  1639+230 2019 02 15 01 55  30.0000000000              151901                
      -2487.70441916   0.01034       17.2060600334   0.01908 8      I     151902                
   0.00088    .00000    .00000    .00000  -0.754920481829391       0.0    151903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            151904
   0.00000   0.01529    .00000    .00000    .00000    .00000              151905                
     0.500     0.500   962.700   962.700    82.400    82.400 0 0          151906                
        0.0000000000   0.00000        0.0000000000   0.00000  0           151908                
ISHIOKA   WARK12M   0229+131 2019 02 15 01 57  21.0000000000              152001                
   -3250166.55460428   0.06572   288998.7924925947   0.05064 0      I     152002                
   0.00011    .00000    .00000    .00000  -0.642463444794724       0.1    152003                
  0.863   1.369 -0.0030  0.0118 -0.0161  0.0069     -63378.494            152004
   0.00000   0.00000    .00000    .00000    .00000    .00000              152005                
     2.283    10.000  1012.300  1000.000    57.292    50.000 0 0          152006                
        0.8144810553   0.03460       -0.0402732761   0.00737  0           152008                
FORTLEZA  KOKEE     0403-132 2019 02 15 01 58   5.0000000000              152101                
   -5369574.04780025   0.02051 -2475080.2174615487   0.00606 4      I     152102                
   0.00018    .00000    .00000    .00000  -4.281443177006902       0.0    152103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            152104
   0.01842   0.03148    .00000    .00000    .00000    .00000              152105                
    25.500    10.274  1010.300   884.411    99.783    95.800 0 0          152106                
       -0.4166101529   0.07608       -5.6958039248   0.01642  0           152108                
KATH12M   YARRA12M  3C454.3  2019 02 15 01 58  13.0000000000              152201                
    6664588.35698354   0.00257  -181724.4620040095   0.00524 1      I     152202                
   0.00374    .00000    .00000    .00000  -1.632826808063077       0.0    152203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            152204
   0.00000   0.00000    .00000    .00000    .00000    .00000              152205                
    32.752    25.031   996.400   986.400    50.947    50.000 0 0          152206                
        3.7998085963   0.00224       -0.0047253597   0.00275  0           152208                
BADARY    NYALES20  1342+662 2019 02 15 01 59  30.0000000000              152301                
   -3976113.27430368   0.03095  -411224.9558591971   0.03265 0      I     152302                
   0.00022    .00000    .00000    .00000  -3.163827119214756       0.1    152303                
  0.017   0.066  0.0002  0.0008  0.0023 -0.0004    -722004.607            152304
   0.00000  -0.01142    .00000    .00000    .00000    .00000              152305                
   -18.255   -14.316   932.782   991.700    44.463    63.833 0 0          152306                
        3.6293751670   0.01579        0.0011663225   0.00738  0           152308                
BADARY    WETTZ13N  1342+662 2019 02 15 01 59  30.0000000000              152401                
   -3270063.05708644   0.03155  -502269.7141837745   0.03270 0      I     152402                
   0.00022    .00000    .00000    .00000   0.564364048720251       0.1    152403                
  0.017   0.127  0.0002  0.0003  0.0023 -0.0001    -427977.723            152404
   0.00000   0.00000    .00000    .00000    .00000    .00000              152405                
   -18.255     0.500   932.782   962.682    44.463    82.363 0 0          152406                
        4.2478648971   0.01804        0.0031873145   0.00931  0           152408                
BADARY    WETTZELL  1342+662 2019 02 15 01 59  30.0000000000              152501                
   -3272733.29170821   0.02530  -502268.5124284031   0.02669 0      I     152502                
   0.00027    .00000    .00000    .00000  -0.385925264887080       0.0    152503                
  0.017   0.113  0.0002  0.0004  0.0023 -0.0000    -433104.654            152504
   0.00000   0.02045    .00000    .00000    .00000    .00000              152505                
   -18.255     0.500   932.782   962.682    44.463    82.363 0 0          152506                
        4.7610079889   0.01422        0.0145980299   0.00737  0           152508                
NYALES20  WETTZ13N  1342+662 2019 02 15 01 59  30.0000000000              152601                
     706049.89103978   0.03055   -91044.8460834368   0.01824 0      I     152602                
   0.00017    .00000    .00000    .00000   5.843135221299254       0.1    152603                
  0.066   0.127  0.0008  0.0003 -0.0004 -0.0001     294026.884            152604
  -0.01142   0.00000    .00000    .00000    .00000    .00000              152605                
   -14.316     0.500   991.700   962.682    63.833    82.363 0 0          152606                
        0.6334127336   0.01957        0.0014926180   0.00628  0           152608                
NYALES20  WETTZELL  1342+662 2019 02 15 01 59  30.0000000000              152701                
     703379.72168513   0.02589   -91043.5966624137   0.01443 0      I     152702                
   0.00019    .00000    .00000    .00000   4.596367834863170       0.0    152703                
  0.066   0.113  0.0008  0.0004 -0.0004 -0.0000     288899.954            152704
  -0.01142   0.02045    .00000    .00000    .00000    .00000              152705                
   -14.316     0.500   991.700   962.682    63.833    82.363 0 0          152706                
        1.1111236288   0.01538       -0.0000385505   0.00440  0           152708                
HART15M   SVETLOE   1212+171 2019 02 15 01 59  52.0000000000              152801                
     200183.03353864   0.02195  -165955.7844683556   0.01526 0      I     152802                
   0.00025    .00000    .00000    .00000   1.607923455551691       0.0    152803                
  1.106   0.260  0.0027  0.0018 -0.0014  0.0006     422963.867            152804
   0.00000   0.00000    .00000    .00000    .00000    .00000              152805                
    16.400     1.728   864.400  1001.000    88.200    86.600 0 0          152806                
        2.8115936838   0.02151       -0.0107103862   0.01009  0           152808                
KATH12M   WARK12M   0131-522 2019 02 15 02 01   2.0000000000              152901                
  -11570691.89072545   0.02915   472547.9449833204   0.01843 0      I     152902                
   0.00022    .00000    .00000    .00000  -1.203127097759337       0.0    152903                
  2.406   0.578 -0.0054 -0.0013 -0.0003  0.0006     -84106.430            152904
   0.00000   0.00000    .00000    .00000    .00000    .00000              152905                
    32.807    10.000   996.377  1000.000    50.586    50.000 0 0          152906                
        0.7446668256   0.05108       -0.0201058998   0.01135  0           152908                
KATH12M   YARRA12M  0131-522 2019 02 15 02 01   2.0000000000              153001                
    -319222.92875103   0.02526    64567.7115815481   0.01605 1      I     153002                
   0.00021    .00000    .00000    .00000  -0.696135794718772       0.0    153003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            153004
   0.00000   0.00000    .00000    .00000    .00000    .00000              153005                
    32.807    25.463   996.377   986.363    50.586    50.000 0 0          153006                
        3.7155058108   0.02110       -0.0139252343   0.00799  0           153008                
WARK12M   YARRA12M  0131-522 2019 02 15 02 01   2.0000000000              153101                
   11251464.38684976   0.02447  -407980.5713280917   0.01547 1      I     153102                
   0.00026    .00000    .00000    .00000   2.948810150704483       0.0    153103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            153104
   0.00000   0.00000    .00000    .00000    .00000    .00000              153105                
    10.000    25.463  1000.000   986.363    50.000    50.000 0 0          153106                
        2.8759414946   0.03635       -0.0035702078   0.00802  0           153108                
BADARY    HART15M   1101+384 2019 02 15 02 04  44.0000000000              153201                
    -100699.84442730   0.03719   -36948.4478161023   0.03330 0      I     153202                
   0.00017    .00000    .00000    .00000  -3.733445851081842       0.1    153203                
  0.102   2.579  0.0020  0.0197  0.0297 -0.0119    -422459.606            153204
   0.00000   0.00000    .00000    .00000    .00000    .00000              153205                
   -18.408    16.388   932.700   864.388    44.554    88.212 0 0          153206                
       -0.0894084521   0.02040        0.0155092950   0.00876  0           153208                
BADARY    SVETLOE   1101+384 2019 02 15 02 04  44.0000000000              153301                
  -11359270.69816362   0.01223  -320796.6785227358   0.01078 8      I     153302                
   0.00052    .00000    .00000    .00000  -4.008015628940139       0.0    153303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            153304
   0.00000   0.00000    .00000    .00000    .00000    .00000              153305                
   -18.408     1.800   932.700  1001.000    44.554    86.530 0 0          153306                
        0.0000000000   0.00000        0.0000000000   0.00000  0           153308                
BADARY    WETTZ13N  1101+384 2019 02 15 02 04  44.0000000000              153401                
  -13832425.20725449   0.01801  -396877.3398332206   0.01588 0      I     153402                
   0.00035    .00000    .00000    .00000  -1.278330505885430       0.0    153403                
  0.102   0.135  0.0020 -0.0002  0.0297  0.0003    -427977.731            153404
   0.00000   0.00000    .00000    .00000    .00000    .00000              153405                
   -18.408     0.512   932.700   962.600    44.554    82.113 0 0          153406                
        4.2461403065   0.01385        0.0096606049   0.00711  0           153408                
BADARY    WETTZELL  1101+384 2019 02 15 02 04  44.0000000000              153501                
  -13834937.89581287   0.01492  -396887.4846867602   0.01336 0      I     153502                
   0.00042    .00000    .00000    .00000   0.898858213477666       0.0    153503                
  0.102   0.122  0.0020 -0.0002  0.0297  0.0001    -433104.667            153504
   0.00000   0.02180    .00000    .00000    .00000    .00000              153505                
   -18.408     0.523   932.700   962.600    44.554    82.108 0 0          153506                
        4.7347718382   0.01059        0.0135219218   0.00535  0           153508                
HART15M   SVETLOE   1101+384 2019 02 15 02 04  44.0000000000              153601                
  -11258570.82964515   0.03087  -283848.2824577720   0.02763 0      I     153602                
   0.00020    .00000    .00000    .00000  -1.147191926436075       0.1    153603                
  2.579   0.190  0.0197  0.0004 -0.0119  0.0007     422964.599            153604
   0.00000   0.00000    .00000    .00000    .00000    .00000              153605                
    16.388     1.800   864.388  1001.000    88.212    86.530 0 0          153606                
        2.7571187433   0.02760       -0.0076037729   0.01636  0           153608                
HART15M   WETTZ13N  1101+384 2019 02 15 02 04  44.0000000000              153701                
  -13731725.28146388   0.03231  -359928.9311305625   0.01446 0      I     153702                
   0.00014    .00000    .00000    .00000  -1.863803568353976       0.1    153703                
  2.579   0.135  0.0197 -0.0002 -0.0119  0.0003      -5518.126            153704
   0.00000   0.00000    .00000    .00000    .00000    .00000              153705                
